sentence	ambig_status	disambiguation_1	disambiguation_2
I was not so much angry with her as I was disappointed.	1	I was not necessarily angry with her, but I was disappointed.	I was angry with her, but not as much as I was disappointed.
The speaker is at the front of the room.	1	The loudspeaker is at the front of the room.	The person who is speaking is at the front of the room.
John was not at home, and so I couldn't give him the message.	1	John was not at home, and so I couldn't give him the message; otherwise I could have.	John was not at home, and so I couldn't give him the message, but there may or may not have been other obstacles too.
When the clock struck New Year's, John kissed his wife, and so did Sam.	1	When the clock struck New Year's, John kissed his wife, and Sam kissed his wife too.	When the clock struck New Year's, John kissed his wife, and Sam kissed John's wife too.
The athlete was very dehydrated after the race.	1	The athlete became very dehydrated during the race.	The athlete was very dehydrated after the race, though not necessarily because of the race.
You should visit Norway in the summer.	1	You should visit Norway the coming summer.	You should visit Norway in the summer season.
Even if you study hard, you can't expect to get an A on the test.	1	Even if you study hard, you can't expect to get an A on the test, though it is possible.	Even if you study hard, you can't expect to get an A on the test; it may or may not be possible.
Some people believe that extraterrestrial life exists on other planets.	1	Some people, but not many, believe that extraterrestrial life exists on other planets.	Some people, and possibly many, believe that extraterrestrial life exists on other planets.
Because of the drought, the city's water supply will run out in two months.	1	Because of the drought, the city's water supply will run out within two months.	Because of the drought, the city's water supply will run out in exactly two months.
The doctor told me that I had a rare disease.	1	The doctor informed me that I had a rare disease.	The doctor said to me that I had a rare disease.
I am getting more and more tired.	1	I am becoming more and more in need of rest.	I am becoming more and more uninterested.
It is not clear whether the city will be able to attract enough businesses to fill all the available space.	1	It is not clear whether the city would attract enough businesses to fill all the available space.	It is not clear whether the city will fulfill its goal of attracting enough businesses to fill all the available space.
I'm getting a little sick of your complaints.	1	I'm getting a little sick of the contents of your complaints.	I'm getting a little sick of how much you complain.
The effects of the disease are not yet fully understood.	1	The effects of the disease on the body are not yet fully understood.	The larger impacts of the disease are not yet fully understood.
No bathroom bill made it to Abbott’s desk by the end of the legislative session in May.	1	Of the bills that made it to Abbott’s desk by the end of the legislative session in May, none of them were bathroom bills.	No bathroom bill made it to Abott's desk by the end of the legislative session in May, whether or not other bills did.
The students were asked to complete the assignment by the end of the week.	1	The students were asked to complete the assignment by a certain time that is before the end of the week.	The students were asked to complete the assignment by a certain time that happens to be the end of the week.
Social media has had a profound effect on the way we communicate.	1	Social media has had a dramatic effect on the way we communicate.	Social media has had a deeply interesting effect on the way we communicate.
I want to go to a school in Chicago.	1	There is a school that I want to go to, and it is in Chicago.	I want to go to school in Chicago.
I am not trying to say that we should all go out and buy a new car.	1	I am not necessarily saying that we should all go out and buy a new car.	I do not believe that we should all go out and buy a new car.
The man was running towards the finish line.	1	The man was running in the direction of the finish line.	The man was running to reach the finish line.
The most likely explanation for the decline in support for the war is that the American public has lost faith in the government's ability to win the war.	1	The American public has lost faith in the government's ability to win the war, which is the most likely explanation for the decline in support for the war.	The most likely explanation for the decline in support for the war is the possibility that American public has lost faith in the government's ability to win the war.
In spite of the recession, many people are still going out to eat at restaurants.	1	In spite of the recession, many people are still going out to eat at restaurants relative to before.	In spite of the recession, there exists many people who are still going out to eat at restaurants.
It is the only possibility of making the law the servant of the people, not the other way around.	1	It is the only possibility of making the law the servant of the people, as it should be, and not the other way around.	It is the only possibility that would lead to the law being the servant of the people, not the other way around.
I am going to pick up my brother from school.	1	I am going to pick up just my brother from school.	I am going to pick up my brother from school, possibly among others.
The cat slept through the storm.	1	The cat slept through the duration of the storm.	The storm did not wake up the cat.
It's going to be hot today.	1	It’s not hot right now but it’s going to be hot today.	It’s not hot right now but it’s going to be hot today.
Even the best-laid plans can go awry.	1	Even the best-laid plans can go awry, though usually they are successful.	Even the best-laid plans can go awry; in fact, they may never be successful.
I hope there is more contemporary music on the rest of the program.	1	I hope there is more music that is contemporary on the rest of the program, too.	I hope there is music that is more contemporary on the rest of the program.
They never suspected that their new babysitter was a murderer.	1	They never saw it coming that their new babysitter was a murderer.	They never considered whether their new babysitter was a murderer.
He was relieved.	1	He was no longer feeling distressed.	He was let go.
I can't remember when I last had a good laugh.	1	I can't remember when I last had a good laugh; it has been a long time.	I can't recall when I last had a good laugh, though it may have been recently.
The disease is passed on by the bite of an infected mosquito.	1	The disease is only passed on by the bite of an infected mosquito.	The disease is passed on by the bite of an infected mosquito, possibly among other ways.
It is difficult to be a good role model for your children when you are not a good role model for yourself.	1	It is challenging to be a good role model for your children when you are not a good role model for yourself.	You cannot be a good role model for your children without being a good role model for yourself.
The school was founded in order to provide an education for the children of the working class.	1	The school was founded in order to provide an education for the children of the working class, possibly among other reasons.	The school was founded in order to provide an education particularly for the children of the working class.
If you want to improve your health, you need to eat more vegetables.	1	In the case that you want to improve your health, you need to eat more vegetables.	Given that you want to improve your health, you need to eat more vegetables.
The company's decision to lay off workers was due to the downturn in the economy.	1	The company's decision to lay off workers was due solely to the downturn in the economy.	The company's decision to lay off workers was due, at least in part, to the downturn in the economy.
If you want to see the sights of the city, you can take a bus tour.	1	If you want to see the sights of the city, you can take a bus tour, but there are other ways too.	If you want to see the sights of the city, you can take a bus tour; in fact, it may be the only way to see the sights of the city.
At first glance, it may appear that the two paintings are similar.	1	At first glance, it may be apparent that the two paintings are similar.	At first glance, one might mistakenly think that the two paintings are similar.
The new software is also available in a Spanish-language version.	1	In addition to older software, the new software is also available in a Spanish-language version.	In addition to other languages, the new software is also available in a Spanish-language version.
In most cases, the disease is not deadly.	1	In most, if not all cases, the disease is not deadly.	In most cases, the disease is not deadly; in other cases it is.
The workers went on strike because they were not being paid enough.	1	The workers went on strike because although they were being paid, they were not being paid enough.	The workers went on strike because they were not being paid enough, which may include not being paid at all.
The vote was close because many people were undecided.	1	The vote was close because many people were unsure of their vote.	The vote was close because many people abstained due to indecision.
I'm not saying that it's a good thing.	1	I'm not saying that it's a good thing, because it's not.	I'm not arguing that it's a good thing, though it might be true.
He was a great man and will be missed.	1	He was a great man while alive and will be missed.	He was a great man when he was around and will be missed.
I've been waiting for this day for years.	1	I've been waiting in excitement for this day for years.	I've been expecting this day for years.
Your boss is a funny man.	1	Your boss is a peculiar man.	Your boss is a humorous man.
I am not smart because I did a PhD.	1	I am not necessarily smart just because I did a PhD.	I am not smart, because I did a PhD.
He had a difficult time understanding her because of her strong accent.	1	He had a difficult time understanding her simply because of her strong accent.	He had a difficult time understanding her at least in part because of her strong accent.
It is difficult to believe that the author of such a masterpiece could have been only twenty-three years old when he wrote it.	1	It is shocking that the author of such a masterpiece was only twenty-three years old when he wrote it.	It is questionable that the author of such a masterpiece might have been only twenty-three years old when he wrote it.
I'm not saying that the government is responsible for the current state of affairs.	1	I'm not saying that the government is responsible for the current state of affairs, because it's not.	I'm not claiming that the government is responsible for the current state of affairs, which may or may not be true.
It is possible that he will get the job.	1	It is possible that he will get the job, though not probable.	There is a non-zero chance that he will get the job.
We put the books on the shelves in alphabetical order.	1	We put the books on the shelves with the objective of achieving alphabetical order.	The books we put on the shelves were in alphabetical order.
I have been going to the same barber for the past year.	1	I have been going to the same barber for only the past year.	I have been going to the same barber for at least the past year.
They're not close to a solution.	1	They're far from a solution.	They're not quite close to a solution.
I am going to have to increase the amount of money I spend on groceries.	1	I am going to increase the amount of money I spend on groceries out of necessity.	I am going to need to increase the amount of money I spend on groceries, whether or not I actually do.
I was looking for my glasses and couldn't find them anywhere.	1	I was looking for my glasses earlier, and couldn't find them anywhere.	I was looking for my glasses and was ultimately unable to find them anywhere.
Calvin will honor his father and Otto will too.	1	Calvin will honor his father and Otto will honor Calvin's father too.	Calvin will honor his father and Otto will honor his own father too.
The painting is not very good.	1	The painting is bad.	The painting is not extremely good, but it may be decent.
I think there are more affordable food options down the street.	1	I think there are more food options down the street that are affordable, too.	I think there are food options that are more affordable down the street.
I don't think we should have to pay for their mistakes.	1	I don't think we should have to pay for their mistakes; they should.	I don't think we should have to pay for their mistakes; someone else should.
I don't think that we can blame them for their decision.	1	I don't think that we can blame them for making the wrong decision.	I don't think that we can blame them for their decision, as it was not wrong.
According to the latest reports, the number of people who are unemployed in the United States has reached a record high.	1	As shown by the latest reports, the number of people who are unemployed in the United States has reached a record high.	At least acccording to the latest reports, the number of people who are unemployed in the United States has reached a record high.
The study found that the most effective way to reduce crime is to increase the number of police officers.	1	It was shown in the study that the most effective way to reduce crime is to increase the number of police officers.	The study concluded that the most effective way to reduce crime is to increase the number of police officers.
If the company wants to be successful, it must invest in research and development.	1	Because the company wants to be successful, it must invest in research and development.	In the case that the company wants to be successful, it must invest in research and development.
Carolyn had talked to two senators.	1	Carolyn had talked to exactly two senators.	Carolyn had talked to at least two senators.
The students were all required to read the play for homework.	1	The students were all required to read the play for homework, possibly among other tasks.	The students were all required only to read the play for homework.
He's a charmer.	1	He's a charming man.	He's a snake charmer.
He gave me a start.	1	He gave me a head start.	He startled me.
It was as if he had never seen the sun before.	1	It was as if he had never seen the sun before, even though he had.	It was as if he had never seen the sun before, whether or not that was actually the case.
It's not too late to change your mind.	1	You should change your mind; it's not too late.	It's not too late to change your mind, if you wish.
They will have to leave the country.	1	They have no choice but to leave the country.	They will have to leave the country to meet some (possibly optional) objective.
A study done in 2006 found that people who read for pleasure on a daily basis had a significantly higher IQ than those who read less frequently.	1	It was shown by a study done in 2006 that people who read for pleasure on a daily basis had a significantly higher IQ than those who read less frequently.	A study done in 2006 concluded that people who read for pleasure on a daily basis had a significantly higher IQ than those who read less frequently.
The United Nations has been accused of a failure to investigate the charges of human rights abuses.	1	The United Nations has been accused of a failure to investigate the charges of human rights abuses, which was its an obligation to do.	The United Nations has been accused of a failure to investigate the charges of human rights abuses, which may or may not have been their obligation.
It is not surprising that many people find fault with the government.	1	It is not surprising that many people find fault with the government, as there are faults.	It is not surprising that many people find fault with the government, whether or not there really are faults.
He is the strongest player on the team.	1	He is the best player on the team.	He is the physically strongest player on the team.
I'm not sure that I'm ready to make a decision.	1	I'm uncertain about whether I'm ready to make a decision.	I'm not ready to make a decision.
I can't believe that he's telling the truth.	1	He is telling the truth, and I am in disbelief.	I am unable to form the belief that he is telling the truth.
It's hard to say.	1	It's hard to determine.	It's hard to articulate.
John and Anna are married.	1	John and Anna are both married.	John and Anna are married to each other.
Visiting relatives can be boring.	1	Relatives who are visiting can be boring.	The act of visiting relatives can be boring.
I find it difficult to believe that he was able to get the job done by himself.	1	I find it difficult to believe the possibility that he was able to get the job done by himself.	I am really surprised that he was able to get the job done by himself.
I didn't have enough money to buy a new car.	1	I didn't have enough money to buy a new car; otherwise I would have bought one.	I didn't have enough money to buy a new car, though I wouldn't necessarily have bought one either way.
We should all be careful not to judge people by their appearances.	1	We should all be careful not to judge people by their appearances, which is a common tendency.	We should all be careful not to judge people by their appearances, regardless of whether or not there is the tendency.
This is not to say that there is no hope for the future.	1	This is not to say that there is no hope for the future, because there is.	This is not to claim that there is no hope for the future.
I am afraid that the patient is not progressing as quickly as we had hoped.	1	I am worried that the patient is not progressing as quickly as we had hoped.	I am sorry to share that the patient is not progressing as quickly as we had hoped.
A possible explanation is that the results of the study are due to chance.	1	The results of the study are due to chance, which is a possible explanation.	It is possible that the results of the study are due to chance, which would provide an explanation.
If a graph is not complete, it is possible that it is missing some edges.	1	If a graph is not complete, then it is possible that it is missing some edges; otherwise, it must be missing vertices.	If a graph is not complete, it would be because it is possible that it is missing some edges.
I am afraid that the meeting tomorrow will be canceled.	1	Regrettably, the meeting tomorrow will be canceled.	I am worried that the meeting tomorrow will be canceled.
The river was swollen from the heavy rains and the current was very swift.	1	The river was swollen just from the heavy rains and the current was very swift.	The river was swollen in part from the heavy rains and the current was very swift.
A recent study found that the use of social media is associated with a decrease in empathy.	1	A recent study discovered that the use of social media is associated with a decrease in empathy.	A recent study concluded that the use of social media is associated with a decrease in empathy.
The company should produce a quarterly report.	1	The company ought to produce a quarterly report, which it does not do right now.	The company ought to produce a quarterly report, which it may already do.
To get in, you will need an entrance fee of $10 or your voucher and your driver's license.	1	To get in, you will need an entrance fee of $10 or both your voucher and your driver's icense.	To get in, you will need your driver's license and either an entrance fee of $10 or your voucher.
As the use of fossil fuels decreases, the need for renewable energy sources will increase.	1	If the use of fossil fuels decreases, the need for renewable energy sources will increase accordingly.	The use of fossil fuels will decrease, and the need for renewable energy sources will increase accordingly.
The House of Representatives has not yet voted on the bill.	1	The House of Representatives has not yet voted on the bill, but it is expected to.	The House of Representatives has not voted on the bill, and is not necessarily expected to.
I don't think that the restaurant is very clean.	1	I don't think that the restaurant is especially clean.	I think the restaurant is dirty.
Some people are happy living in small towns.	1	Some people are happy living in small towns, and others are not.	Some (and possibly all) people are happy living in small towns.
In the first half of the movie, the protagonist is trying to figure out what is going on.	1	In only the first half of the movie, the protagonist is trying to figure out what is going on.	In the first half of the movie and possibly for longer, the protagonist is trying to figure out what is going on.
The study found that people who had a positive outlook on life were more likely to be physically active.	1	The study found that the subset of people who had a positive outlook on life were also more likely to be physically active.	The study found that having a positive outlook on life caused people to be more likely to be physically active.
The new law will come into effect on January 1st.	1	The new law, to contrast with an old one, will come into effect on January 1st.	The newly created law will come into effect on January 1st.
It's not my problem.	1	It's not my issue.	It's not my question (the kind raised to inspire thought).
I have one of the best jobs in the world.	1	I have one of the best jobs in the world, if not the best.	I have one of the best jobs in the world, though not the best.
In this study, we sought to determine the extent to which people use social media.	1	In this study, we sought to determine the extent to which people use social media, possibly among other things.	In this study, we sought only to determine the extent to which people use social media.
I was informed that the patient is doing well.	1	I was informed of the fact that the patient is doing well.	I was told that the patient is doing well.
I was not consulted about this change.	1	I was not informed and asked about this change.	I was not sought for advice about this change.
This can lead to a number of problems.	1	This can lead to more than one problem.	This can lead to many problems.
We saw her duck.	1	We saw the duck that's hers.	We saw her duck down.
A watched pot never boils.	1	A literal watched pot never boils.	A figurative watched pot never boils.
Someone had scribbled on every wall in the kitchen.	1	There is a certain person who scribbled on every wall in the kitchen.	Every wall in the kitchen had been scribbled on by someone.
You never told me what you wanted.	1	It is not the case that you told me what you wanted.	You never told me what you wanted; I wish you had.
I'm afraid the cat was hit by a car.	1	I'm sorry to share that the cat was hit by a car.	I'm worried that the cat was hit by a car.
We should give more money to charity.	1	We should give more money to charity than we currently give.	We should give more money to charity, including if we give nothing right now.
A recent study found that people who regularly eat fish are less likely to develop Alzheimer's disease.	1	A recent study concluded that people who regularly eat fish are less likely to develop Alzheimer's disease.	A recent study discovered that people who regularly eat fish are less likely to develop Alzheimer's disease.
The most important thing for our company is to increase sales.	1	The most important thing for our company is to increase sales, among other important things.	The most important, perhaps the only important, thing for our company is to increase sales.
Alice didn't need to lie.	1	Alice didn't need to lie, even though she had the option to.	Alice didn't need to lie, regardless of whether she could.
It is possible that thetrue nature of the universe has been misinterpreted by scientists.	1	It is possible but not certain that the true nature of the universe has been misinterpreted by scientists.	It is at least possible that the true nature of the universe has been misinterpreted by scientists.
This is not to say that she is not a good person.	1	This is not necessarily to say that she is not a good person.	This is not to say that she is not a good person, because she is.
This is not to say that she did not love her children.	1	This is not to say that she did not love her children, because she did.	This is not to say that she did not love her children, though maybe she didn't.
We can only hope that the current unrest in the country will lead to positive change.	1	We can't know for sure, but we can hope that the current unrest in the country will lead to positive change.	We can't know for sure, but we can hope that the current unrest in the country will lead to positive change.
The assertion that the theory is flawed is based on a misunderstanding of the evidence.	1	A particular assertion that the theory is flawed is based on a misunderstanding of the evidence.	Any assertion that the theory is flawed is based on a misunderstanding of the evidence.
I don't want to see the new Superman movie.	1	I don't want to ever see the new Superman movie.	I don't want to watch the new Superman movie.
One purpose of the article is to discuss the pros and cons of the death penalty.	1	One purpose of writing the article is to discuss the pros and cons of the death penalty.	One facet of the article is that it discusses the pros and cons of the death penalty.
The company is moving to a new office building because the current one is too small.	1	The company is moving to a new office building solely because the current one is too small.	The company is moving to a new office building partly because the current one is too small.
I will be out of the office for the next two weeks on vacation.	1	I will be out of the office for the next two weeks, starting from tomorrow, on vacation.	I will be out of the office for the next two weeks on vacation, starting next Monday.
I'm afraid that we're going to have to find a new manager.	1	I'm worried that we're going to have to find a new manager.	Unfortunately, we're going to have to find a new manager.
I am not trying to downplay the seriousness of the situation.	1	I am not trying to downplay the seriousness of the situation, which may or may not actually be serious.	I am not trying to downplay that the situation is serious.
He would be a great president if he was more level-headed.	1	He would be a great president if he was level-headed, which he is not.	He would be a great president if he was more level-headed than he currently is.
A goal for the future is to be able to work together in order to make a difference.	1	A goal for the future is to make it possible that working together can make a difference.	A goal for the future is to be able to work together, thereby making a difference.
The teacher told the students that they needed to be quiet, in order to hear the guest speaker.	1	The teacher, in order to hear the guest speaker, told the students that they needed to be quiet.	The teacher told the students that they needed to be quiet in order for them to hear the guest speaker.
I can't believe that he actually did it.	1	I can't believe the fact that he actually did it.	I can't believe the possibility that he actually did it.
The U.S. Department of Justice is now moving to shut down the \"welfare to work\" program in six states, including California, Florida, and Michigan.	1	The U.S. Department of Justice is now executing the shutdown the \"welfare to work\" program in six states, including California, Florida, and Michigan.	The U.S. Department of Justice is now moving towards the goal of shutting down the \"welfare to work\" program in six states, including California, Florida, and Michigan.
People who are funny naturally use humor to build connections.	1	People who are naturally funny use humor to build connections.	Funny people naturally use humor to build connections.
I'm afraid that if we don't take action soon, it will be too late.	1	I fear that if we don't take action soon, it will be too late.	I'm sorry to say that if we don't take action soon, it will be too late.
I think he's at Google.	1	I think he's on the Google campus.	I think he's employed at Google.
The theory that the decrease in demand for goods and services is the primary cause of the decrease in the employment rate has not been supported by the evidence.	1	The theory that the decrease in demand for goods and services is the primary cause of the decrease in the employment rate has been refuted by the evidence.	The theory that the decrease in demand for goods and services is the primary cause of the decrease in the employment rate has not been supported by the evidence, which is still inconclusive.
He wants to attend a school in New York.	1	There is a school in New York that he wants to attend.	He wants to be in New York for school.
Alice said that Bob studied Spanish, and Charlie did too.	1	Alice said that Bob studied Spanish, and that Charlie did too.	Alice said that Bob studied Spanish; Charlie said it too.
I want to hear the AI talk.	1	I want to hear the talk about AI.	I want to hear the AI speak.
There will be a lot of baby talk over brunch today.	1	There will be a lot of talk about babies over brunch today.	There will be a lot of talk in the style of babies over brunch today.
She didn't want to give up her dream of becoming a doctor.	1	She didn't want to give up her dream of becoming a doctor; she had to.	She didn't want to give up her dream of becoming a doctor in the future.
I'm not at all sure that I want to go.	1	It's not the case that I'm sure that I want to go.	I'm not at all sure that I want to go, and not sure that I don't want to go.
The school district has to adopt a balanced budget.	1	The school district has to adopt a budget that balances cost and revenue.	The school district has to adopt a budget that is well balanced between all its costs.
The manager was happy with the way that the team had performed.	1	The manager was satisfied with the way that the team had performed.	The manager was elated with the way that the team had performed.
He didn't study for the test, and he failed.	1	He didn't study for the test, so he failed; otherwise he would have passed.	He didn't study for the test, and then he failed.
She didn't mean to hurt him.	1	She didn't mean to hurt him, but she did.	She didn't intend to hurt him, whether or not she actually did.
The government needs to be more transparent in order to gain the public's trust.	1	The government is not transparent and needs to be more transparent in order to gain the public's trust.	The government needs to be more transparent, even when it may already be transparent, in order to gain the public's trust.
I'm going to have to ask you to leave.	1	I have to ask you to leave.	I will later have to ask you to leave.
I just made up the names in the math problem.	1	I just created some names for the math problem.	I just used arbitrary names in the math problem.
In the story, the protagonist tries to save the world from destruction.	1	In the story, the protagonist tries to save the world from destruction which is imminent.	In the story, the protagonist tries to save the world from destruction, but it may or may not be happening.
She didn't so much mind the noise as the fact that it was coming from his room.	1	She didn't mind the noise, but she did mind the fact that it was coming from his room.	She didn't mind the noise as much as the fact that it was coming from his room.
I'm going to have to ask you to leave if you don't stop making that noise.	1	You will need to leave if you don't stop making that noise.	I will have to request for you to leave if you don't stop making that noise.
A lot of people think that video games are a waste of time.	1	A lot of people, possibly all of them, think that video games are a waste of time.	A lot of people, though not all, think that video games are a waste of time.
She is looking for a Russian teacher for her kids, because she thinks it would be beneficial for her kids.	1	She is looking for a teacher to teach Russian to her kids, because she thinks it would be beneficial for her kids.	She is looking for a teacher who is Russian for her kids, because she thinks it would be beneficial for her kids.
I take the bus to work every day.	1	I take the bus at some point in my commute to work every day.	I take the bus to work every day, as my main mode of transportation.
The coffee beans are roasted and then ground up before being brewed.	1	Before being brewed, exactly two things happen to the coffee beans: they are roasted, and then ground up.	Before being brewed, several things happen to the coffee beans, including being roasted and then ground up.
If a person has a right to life, then that person has a right to the basic necessities of life.	1	Since a person has a right to life, that person has a right to the basic necessities of life.	If it is true that a person has a right to life, then that person must have a right to the basic necessities of life.
Jana wants to marry the tallest man in Fulsom County.	1	Jana wants to marry the tallest man in Fulsom County, whoever that may be.	Jana wants to marry someone who happens to be the tallest man in Fulsom County.
I saw a man with binoculars.	1	I saw a man who had binoculars.	I used binoculars to see a man.
In recent years, the NFL has confronted accusations of racial discrimination by Black coaches, allegations of workplace misconduct at a flagship franchise and posthumous diagnoses in more than 300 former players of chronic traumatic encephalopathy, which is associated with repeated blows to the head.	1	In recent years, the NFL has confronted accusations from Black coaches of racial discrimination, allegations of workplace misconduct at a flagship franchise and posthumous diagnoses in more than 300 former players of chronic traumatic encephalopathy, which is associated with repeated blows to the head.	In recent years, the NFL has confronted accusations of racial discrimination at the hands of Black coaches, allegations of workplace misconduct at a flagship franchise and posthumous diagnoses in more than 300 former players of chronic traumatic encephalopathy, which is associated with repeated blows to the head.
A lot of people are under the impression that the stock market is a place where you can make a lot of money quickly.	1	A lot of people are under the mistaken impression that the stock market is a place where you can make a lot of money quickly.	A lot of people think that the stock market is a place where you can make a lot of money quickly.
I'm looking for a black wallet.	1	I'm looking for a lost black wallet.	I'm looking to acquire a black wallet.
He didn't mean to hurt her feelings.	1	He didn't mean to hurt her feelings, but he did.	He didn't mean to hurt her feelings, whether or not he did.
I'm not going to sugarcoat this: you need to shape up or you're going to get fired.	1	I'm not going to sugarcoat this: if you don't shape up, it will cause you to get fired.	I'm not going to sugarcoat this: one of the two possibilities is true — you're going to get fired, or you need to shape up.
He sightread the piece with a lot of F naturals.	1	He sightread the piece that contains a lot of F naturals.	He played a lot of F naturals when sightreading the piece.
They will also be asked to decide whether the verdict should be set aside.	1	They will also be asked to decide whether the verdict is still valid.	They will also be asked to decide whether the verdict should be set aside temporarily.
He told me the story of a man who played piano quickly.	1	He told me the story quickly, of a man who played piano.	He told me the story of a man, who played piano quickly.
The proposal is that we increase our investment in the company by 10%.	1	Our proposal is that we increase our investment in the company by 10%.	Their proposal is that we increase our investment in the company by 10%.
I swore to myself.	1	I cussed to myself.	I promised to myself.
We can be sure that the future will be better than the present.	1	It is certain that the future will be better than the present.	We can feel certain that the future will be better than the present.
John and Jim are married.	1	John and Jim are both married.	John and Jim are married to each other.
The store is having a sale on winter clothing.	1	The store is having a sale on winter clothing, and perhaps on other things too.	The store is having a sale specifically on winter clothing.
There is no evidence that the policy has been successful in reducing the number of accidents.	1	There exists no evidence that the policy has been successful in reducing the number of accidents.	There is no evidence collected yet that the policy has been successful in reducing the number of accidents.
I will not vote for the candidate.	1	I will vote, but not for the candidate.	I will not vote for the candidate, if I vote.
The boat, now caught in the storm, seemed to be in danger of capsizing.	1	The boat, now caught in the storm, appeared to be in danger of capsizing.	The boat, now caught in the storm, was in danger of capsizing.
He told me the issue was resolved yesterday.	1	He told me that yesterday, the issue was resolved.	He told me yesterday that the issue was resolved.
It is currently March, and they plan to have their wedding scheduled for next December.	1	It is currently March, and they plan to have their wedding scheduled for the coming December.	It is currently March, and they plan to have their wedding scheduled for December next year.
It is good to know that someone has your back.	1	It is good to know that in fact, someone has your back.	It is a good feeling to know that someone has your back.
It was not until the early hours of the morning that the true extent of the damage was known.	1	It was not until the early hours of the morning that the true extent of the damage was known, though it was known earlier that there was damage.	It was not until the early hours of the morning that the true extent of the damage was known, though it was known earlier that there was damage.
They have a reputation for being a very reliable source of information.	1	They are widely thought to be a very reliable source of information.	They are a very reliable source of information, and well-known for it.
Due to the company's success, many of its employees have become millionaires.	1	Due to the company's success, many of its employees have become millionaires, though not a large fraction overall.	Due to the company's success, many of its employees have become millionaires. In fact, perhaps there are not many who did not.
I hope you had a well-deserved break.	1	I hope you deserved your break.	I hope you had a break, which you deserved to have.
If a business is doing well, its stock price may increase.	1	Even if a business is doing well, its stock price may or may not increase.	If a business is doing well, this would increase the chances that its stock price increases.
The company's IT systems must be able to integrate with the new software.	1	The company's IT systems need to be able to integrate with the new software.	It must be the case that the company's IT systems are able to integrate with the new software.
The man was trying to improve his health by exercising and eating better.	1	The man was trying to improve his health only by exercising and eating better.	The man was trying to improve his health by exercising and eating better (among possibly other measures).
In the past, people thought that the Earth was the center of the universe.	1	In the past, people thought that the Earth was the center of the universe, but people now don't think that anymore.	In the past, people thought that the Earth was the center of the universe, and people now may or may not still think that.
We will be able to increase our production by 10 percent if we can get the additional machinery.	1	We will be able to increase our production by 10 percent, but only if we can get the additional machinery.	We will be able to increase our production by 10 percent if we can get the additional machinery, but it is possible that we are able to do this without the machinery too.
The company has been in trouble for some time, and its stock prices have been falling steadily.	1	The company has been in trouble for some time, which has caused its stock prices to fall steadily.	The company has been in trouble for some time, and also its stock prices have been falling steadily.
The law is a bit like a game, in that there are rules that must be followed in order to win.	1	The law is a bit like a game, and even maybe it is a game, in that there are rules that must be followed in order to win.	The law is a bit like a game, but it is not a game, in that there are rules that must be followed in order to win.
I can't believe that he ate an entire pizza by himself.	1	I refuse to believe that he ate an entire pizza by himself.	I am shocked that he ate an entire pizza by himself.
I'm not sure if I'm ready to make that commitment.	1	I'm not sure whether I'm ready to make that commitment or not.	I'm not ready to make that commitment.
I don't know if I should tell her the truth.	1	I don't know if I should tell her the truth or a lie.	I don't know if I should tell her the truth or a lie.
The dog's owner decided to put the dog down because it was too old and sick.	1	The dog's owner decided to put the dog down solely because it was too old and sick.	The dog's owner decided to put the dog down partly because it was too old and sick.
I am not saying that he is a bad person, but I am saying that he is not a good person.	1	I acknowledge that he is not a bad person, but I am saying that he is not a good person.	I am not arguing that he is a bad person, but I am saying that he is not a good person.
In general, older adults are more likely to suffer from chronic illnesses than younger adults.	1	In general, older adults are more likely to suffer from chronic illnesses than younger adults, but there are exceptions.	In general, perhaps always, older adults are more likely to suffer from chronic illnesses than younger adults.
This law is designed to protect the environment.	1	This law is designed mainly to protect the environment.	This law is designed to protect the environment, possibly among other goals.
The study found that there was a correlation between anxiety and academic performance.	1	The study showed that there was a correlation between anxiety and academic performance.	The study concluded that there was a correlation between anxiety and academic performance.
It is becoming increasingly difficult to find people who have not been affected by the change.	1	It is becoming increasingly difficult to locate people who have not been affected by the change.	People who have not been affected by the change are becoming increasingly rare.
It should be right now.	1	It should be correct now.	It should be at this moment.
The company's new product is projected to increase sales by 20%.	1	The company's new product, if successful, is projected to increase sales by 20%.	The company's new product is projected to increase sales by 20%, though this may not depend on the product's success.
The professor said on Monday he would give an exam.	1	The professor said on Monday that he would give an exam.	The professor said that on Monday, he would give an exam.
Patrick did not manage to leave.	1	Patrick did not manage to leave, despite his attempt.	Patrick did not manage to leave, whether or not he tried.
It is my belief that the earth is round.	1	It is my understanding that the earth is round.	It is my conviction that the earth is round.
We can use this definition to help us see when we are acting selfishly.	1	We can use this definition to help us see when we are acting selfishly, and when we are not.	We can use this definition to help us identify some cases of when we are acting selfishly.
All things being equal, she would have chosen the job in New York.	1	If the situation were different such that all things were equal, she would have chosen the job in New York.	All things being equal, she would have chosen the job in New York, and she may have.
A review of the literature indicates that there is a great deal of research on the topic of job satisfaction.	1	Reviewing the literature would reveal that there is a great deal of research on the topic of job satisfaction.	A particular review of the literature indicates that there is a great deal of research on the topic of job satisfaction.
I forgot what room I'm in.	1	I forgot what room I'm physically in.	I forgot what room I belong to.
All of the members of the team had to be replaced.	1	All of the members of the team had to be replaced, and they were.	All of the members of the team needed to be replaced.
